Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
28, 8192, 1, 1, 32, 0.249372, 0.235086, N/A, 0.00335755, 0.00265612, 6.6685, 0.0377121, 2, 2, 8, 16, 1, 1, 75.4106, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 32768, 1, 1, 32, 0.446142, 0.42847, N/A, 0.00902282, 0.00627527, 23.7172, 0.154804, 2, 4, 16, 32, 1, 1, 73.4838, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 32, 0.109439, 0.083764, N/A, 0.000287548, 0.00050316, 0.214755, 0.000957444, 2, 2, 1, 2, 1, 1, 55.4667, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 16384, 1, 1, 32, 0.329346, 0.199834, N/A, 0.00382776, 0.00323768, 11.904, 0.0493473, 2, 4, 8, 16, 1, 1, 68.8752, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 512, 1, 1, 8, 0.129873, 0.100585, N/A, 0.000295504, 0.000325983, 0.407776, 0.00163769, 2, 2, 4, 8, 1, 1, 64.8553, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 8, 0.10278, 0.0740256, N/A, 0.000121861, 0.000162403, 0.125463, 0.000498694, 2, 2, 2, 4, 1, 1, 53.2454, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 65536, 1, 1, 32, 0.620589, 0.42847, N/A, 0.0139292, 0.0111516, 47.3046, 0.31672, 2, 8, 16, 16, 2, 1, 71.8336, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 1024, 1, 1, 8, 0.140383, 0.115605, N/A, 0.000493097, 0.000415027, 0.727362, 0.00290694, 2, 2, 8, 16, 1, 1, 73.0751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 2048, 1, 1, 8, 0.145409, 0.122482, N/A, 0.000883704, 0.000588538, 1.66909, 0.00618474, 2, 2, 16, 32, 1, 1, 68.6933, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 16384, 1, 1, 32, 0.375032, 0.326376, N/A, 0.00549959, 0.00413443, 13.1889, 0.0707207, 2, 2, 8, 16, 1, 1, 80.4261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 4096, 1, 1, 8, 0.194899, 0.157051, N/A, 0.00129309, 0.000719544, 3.23058, 0.0113856, 2, 2, 16, 32, 1, 1, 74.6295, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 2048, 1, 1, 32, 0.206596, 0.157794, N/A, 0.000965991, 0.00179916, 1.97746, 0.010321, 2, 2, 2, 4, 1, 1, 68.8859, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 32768, 1, 1, 8, 0.42359, 0.303759, N/A, 0.00436966, 0.00274871, 21.6336, 0.0962931, 2, 8, 64, 32, 4, 1, 70.5929, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 1024, 1, 1, 32, 0.147069, 0.115413, N/A, 0.000725818, 0.0011323, 1.02572, 0.00573866, 2, 2, 2, 4, 1, 1, 61.946, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 65536, 1, 1, 8, 0.582399, 0.303759, N/A, 0.00590117, 0.00428021, 43.2673, 0.194986, 2, 16, 64, 32, 4, 1, 69.7241, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 512, 1, 1, 32, 0.142069, 0.110667, N/A, 0.000432005, 0.000967824, 0.459463, 0.00295968, 2, 2, 1, 2, 1, 1, 60.055, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 131072, 1, 1, 8, 0.797725, 0.762225, N/A, 0.00828757, 0.0065062, 80.9299, 0.437295, 2, 32, 128, 32, 8, 1, 62.1787, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 32, 0.11635, 0.0898599, N/A, 0.000323687, 0.000582947, 0.245348, 0.00166032, 2, 2, 1, 2, 1, 1, 53.527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
